Time, Value 
0, 779.3149999999841
1, 807.5050000000047
2, 823.8000000000029
3, 833.6199999999953
4, 826.4299999999967
5, 816.8549999999959
6, 816.4950000000135
7, 814.1399999999849
8, 805.16499999999
9, 812.1400000000176
10, 812.2599999999911
11, 821.489999999998
12, 812.4750000000095
13, 807.6500000000196
14, 818.8499999999913
15, 832.9649999999747
16, 819.8949999999822
17, 813.7550000000047
18, 807.7199999999939
19, 815.575000000048
20, 831.9350000000559
21, 815.8300000000163
22, 812.9199999999764
23, 822.1499999999869
24, 826.0149999999776
25, 814.0799999999581
26, 845.185000000005
27, 792.9249999999884
28, 805.0799999999945
29, 825.7949999999764
30, 803.4950000000172
31, 820.4849999999497
32, 797.5900000000038
33, 808.535000000018
34, 817.5149999999776
35, 809.2700000000405
36, 808.2650000000212
37, 804.1400000000358
38, 806.8700000000244
39, 805.8399999999965
40, 814.6000000000131
41, 805.6200000000172
42, 817.5950000000012
43, 823.0199999999895
44, 841.974999999984
45, 822.4600000000355
46, 820.4199999999546
47, 820.0949999999939
48, 796.9049999999916
49, 813.1550000000134
50, 818.4449999999924
51, 818.4700000000303
52, 817.1400000000212
53, 802.0199999999604
54, 815.7150000000547
55, 831.5599999999831
56, 813.6599999999962
57, 824.6650000000009
58, 811.3849999999802
59, 823.900000000016
60, 803.1299999999974
61, 804.9449999999852
62, 814.41500000003
63, 815.7599999999948
64, 804.2749999999796
65, 820.214999999982
66, 819.5149999999921
67, 810.6900000000169
68, 825.3149999999805
69, 819.0199999999968
70, 801.9150000000009
71, 821.6849999999686
72, 823.1599999999598
73, 821.8349999999627
74, 821.4799999999959
75, 818.1400000000067
76, 813.7000000000189
77, 806.3349999999773
78, 822.9450000000215
79, 817.5750000000189
80, 824.5300000000352
81, 794.935000000005
82, 826.6350000000166
83, 823.9449999999706
84, 812.2849999999744
85, 820.1800000000076
86, 814.444999999956
87, 812.544999999991
88, 820.5
89, 828.8800000000338
90, 839.1150000000052
91, 819.4500000000189
92, 838.6349999999948
93, 807.8849999999802
94, 818.9799999999595
95, 816.0200000000114
96, 825.039999999979
97, 818.6450000000186
98, 826.1299999999756
99, 820.9900000000125
100, 811.2900000000081
101, 815.8449999999939
102, 815.5300000000061
103, 805.0549999999712
104, 820.4750000000422
105, 817.8950000000114
106, 807.724999999984
107, 810.9249999999665
108, 819.900000000016
109, 824.8400000000402
110, 803.4750000000204
111, 819.0650000000096
112, 840.9150000000227
113, 819.1550000000207
114, 821.6749999999956
115, 834.0750000000262
116, 804.5249999999796
117, 815.2499999999418
118, 813.3449999999866
119, 835.4300000000003
120, 828.2849999999962
121, 808.3400000000111
122, 814.6300000000119
123, 800.5500000000029
124, 814.2349999999715
125, 811.189999999966
126, 812.2649999999776
127, 788.4200000000419
128, 821.3050000000076
129, 819.7449999999953
130, 805.9649999999747
131, 820.8750000000218
132, 830.8199999999924
133, 826.404999999977
134, 817.2999999999811
135, 824.1199999999735
136, 809.9999999999709
137, 820.7400000000562
138, 822.320000000007
139, 804.7550000000047
140, 830.9099999999744
141, 822.7899999999863
142, 821.1350000000311
143, 814.2050000000017
144, 816.5349999999671
145, 815.6550000000279
146, 820.5850000000137
147, 822.2499999999636
148, 811.0649999999805
149, 831.6249999999709
150, 818.7349999999642
151, 810.730000000025
152, 815.3950000000114
153, 826.9800000000178
154, 818.0850000000282
155, 827.385000000002
156, 816.2450000000099
157, 821.0349999999817
158, 806.1450000000259
159, 820.0799999999799
160, 829.6900000000169
161, 804.6399999999849
162, 811.2450000000026
163, 807.8799999999683
164, 821.3299999999945
165, 817.4099999999962
166, 809.8500000000058
167, 816.8999999999942
168, 827.7699999999895
169, 822.7699999999822
170, 816.2200000000012
171, 830.6749999999447
172, 793.4150000000154
173, 820.439999999995
174, 815.2899999999936
175, 819.4199999999691
176, 824.1749999999738
177, 793.0699999999924
178, 830.7549999999683
179, 834.7399999999616
180, 821.4399999999878
181, 809.039999999979
182, 826.5449999999983
183, 824.7150000000038
184, 823.0850000000282
185, 823.3499999999694
186, 831.5749999999898
187, 826.5050000000047
188, 801.9599999999991
189, 818.2749999999942
190, 815.814999999995
191, 821.1049999999959
192, 811.635000000002
193, 811.6549999999916
194, 826.2499999999709
195, 810.0249999999869
196, 826.5449999999473
197, 807.2749999999796
198, 847.4400000000242
199, 810.1349999999875
200, 821.3400000000111
201, 801.114999999998
202, 808.904999999977
203, 812.0849999999555
204, 807.7650000000212
205, 814.2299999999886
206, 832.6299999999901
207, 816.9349999999977
208, 819.8349999999991
209, 820.6399999999776
210, 827.1400000000212
211, 817.8400000000256
212, 822.8099999999467
213, 804.9900000000125
214, 822.2400000000198
215, 818.9200000000274
216, 823.8849999999948
217, 808.8899999999994
218, 812.0399999999863
219, 810.2349999999788
220, 806.8400000000474
221, 822.2800000000134
222, 800.714999999982
223, 871.864999999998
224, 878.609999999986
225, 827.9100000000399
226, 818.6599999999598
227, 824.0199999999968
228, 826.0799999999799
229, 820.9649999999747
230, 830.8099999999758
231, 854.4749999999913
232, 818.8199999999779
233, 816.9150000000009
234, 816.9599999999991
235, 827.9800000000105
236, 812.3399999999892
237, 805.3499999999913
238, 818.4750000000276
239, 816.435000000005
240, 820.5699999999852
241, 814.9999999999636
242, 824.0300000000061
243, 809.8649999999907
244, 813.1149999999761
245, 799.2750000000233
246, 822.4250000000393
247, 806.314999999966
248, 809.0100000000093
249, 823.3050000000221
250, 812.7000000000189
251, 823.0650000000242
252, 824.2999999999738
253, 813.310000000034
254, 817.3800000000192
255, 780.400000000016
256, 817.0500000000175
257, 804.6449999999895
258, 821.3199999999706
259, 815.8449999999939
260, 822.6350000000166
261, 814.7350000000006
262, 825.0500000000757
263, 813.3699999999953
264, 822.9800000000396
265, 836.1250000000437
266, 806.5949999999575
267, 802.6199999999371
268, 813.0149999999849
269, 814.7450000000244
270, 812.0000000000291
271, 815.9399999999441
272, 831.5199999999313
273, 828.0900000000256
274, 821.6200000000244
275, 808.0600000000704
276, 820.4850000001024
277, 817.9700000000303
278, 824.8199999999779
279, 815.7500000000582
280, 826.5800000001182
281, 805.9949999999808
282, 797.5400000000081
283, 826.3249999999971
284, 814.0249999999796
285, 819.2200000000303
286, 815.285000000018
287, 811.5650000000023
288, 830.3600000000006
289, 827.2250000000786
290, 822.4549999999144
291, 813.0799999999581
292, 797.0000000000437
293, 835.360000000117
294, 829.4399999999441
295, 824.0850000000355
296, 805.734999999986
297, 838.0499999999593
298, 832.8299999999726
299, 829.1449999999895
300, 816.2000000000116
301, 816.1999999999971
302, 822.6450000000041
303, 814.7049999999872
304, 823.4700000000303
305, 809.2799999999988
306, 826.1599999999889
307, 819.7599999999802
308, 818.0650000000751
309, 820.3799999999901
310, 814.6899999999878
311, 827.9400000000169
312, 821.1100000000151
313, 809.6650000000518
314, 819.2049999999581
315, 820.0399999999354
316, 812.7799999999988
317, 799.7500000000146
318, 814.4650000000256
319, 821.1450000000332
320, 820.2950000000128
321, 808.7949999999691
322, 819.9400000000605
323, 813.4850000000006
324, 827.7350000000151
325, 828.5599999999395
326, 828.019999999975
327, 808.3499999999913
328, 785.8900000001013
329, 817.9649999999674
330, 819.464999999982
331, 813.3600000000006
332, 827.1499999999505
333, 825.7850000000326
334, 815.9649999999674
335, 822.9049999999988
336, 821.054999999993
337, 814.6150000000634
338, 807.6849999999686
339, 815.2299999999814
340, 820.7550000000483
341, 819.7600000000093
342, 797.2849999999889
343, 813.1949999999342
344, 839.7750000001106
345, 814.1000000000058
346, 810.1199999999808
347, 812.3649999999907
348, 824.5450000000274
349, 839.1550000000134
350, 816.0300000000279
351, 819.9650000000693
352, 806.6100000000151
353, 819.5999999999767
354, 822.0950000000739
355, 816.7300000000541
356, 809.8950000000768
357, 814.5749999999971
358, 801.3800000000192
359, 817.6499999999651
360, 809.8300000000309
361, 827.609999999986
362, 837.679999999993
363, 820.5950000000885
364, 812.7000000000407
365, 824.2150000000256
366, 825.2999999999884
367, 813.6649999999936
368, 815.9199999999691
369, 819.8499999999913
370, 819.3050000000076
371, 797.5749999999825
372, 799.2800000000425
373, 816.8950000000186
374, 831.984999999986
375, 823.9699999999866
