Time, Value 
0, 820.7000000000044
1, 806.8200000000215
2, 814.5849999999991
3, 811.75
4, 794.7900000000009
5, 813.9149999999863
6, 813.7649999999958
7, 816.6100000000079
8, 829.2800000000134
9, 818.9850000000079
10, 813.5149999999885
11, 810.5749999999971
12, 823.6999999999862
13, 819.4599999999773
14, 799.2249999999949
15, 808.6999999999971
16, 811.1299999999937
17, 811.9650000000147
18, 812.2200000000048
19, 810.650000000016
20, 817.1450000000004
21, 811.3100000000013
22, 817.9500000000226
23, 823.1450000000041
24, 820.2549999999865
25, 827.5350000000108
26, 815.8950000000041
27, 846.1749999999811
28, 812.0000000000036
29, 806.559999999994
30, 815.2850000000144
31, 804.3799999999865
32, 825.0449999999983
33, 821.8899999999994
34, 826.5850000000028
35, 809.6599999999999
36, 812.6400000000103
37, 805.7200000000012
38, 835.2800000000025
39, 814.6199999999881
40, 809.9549999999872
41, 805.3849999999984
42, 817.5650000000278
43, 798.0649999999914
44, 821.3050000000076
45, 836.2699999999968
46, 823.7049999999872
47, 805.3099999999868
48, 808.689999999995
49, 817.7549999999865
50, 821.4849999999933
51, 817.0849999999991
52, 807.1499999999869
53, 800.6500000000015
54, 817.5
55, 815.9999999999927
56, 811.5550000000076
57, 827.3800000000156
58, 817.7549999999756
59, 794.4449999999779
60, 818.3399999999892
61, 829.9399999999878
62, 823.2900000000227
63, 811.8599999999933
64, 823.5750000000044
65, 807.2600000000166
66, 821.3399999999892
67, 825.9400000000169
68, 818.9249999999593
69, 842.1800000000148
70, 814.8400000000038
71, 814.4600000000137
72, 835.6850000000268
73, 823.4899999999761
74, 862.5949999999866
75, 822.7849999999889
76, 819.0700000000361
77, 814.9349999999831
78, 816.7599999999948
79, 816.9600000000137
80, 806.4950000000172
81, 811.7799999999916
82, 811.5800000000381
83, 818.410000000018
84, 813.0899999999965
85, 809.554999999993
86, 796.2799999999843
87, 817.2899999999718
88, 816.5299999999916
89, 811.8599999999788
90, 802.9949999999881
91, 817.6300000000119
92, 790.1099999999933
93, 821.1149999999907
94, 806.0550000000003
95, 787.6000000000204
96, 815.7550000000338
97, 807.2849999999962
98, 822.2750000000087
99, 804.0349999999889
100, 820.4800000000469
101, 821.7499999999854
102, 797.1849999999977
103, 825.494999999959
104, 811.7650000000212
105, 808.9100000000471
106, 820.0200000000405
107, 804.3199999999924
108, 824.2749999999578
109, 835.3450000000303
110, 794.9950000000317
111, 819.2849999999889
112, 808.2150000000329
113, 822.385000000002
114, 793.8249999999753
115, 818.2050000000309
116, 815.0049999999974
117, 828.6450000000186
118, 787.3349999999773
119, 843.074999999968
120, 814.7199999999939
121, 807.054999999993
122, 825.5200000000114
123, 801.2849999999453
124, 815.9400000000242
125, 816.0250000000233
126, 811.5050000000265
127, 811.0050000000192
128, 843.2550000000119
129, 812.5150000000067
130, 821.4349999999904
131, 816.8550000000032
132, 823.2800000000352
133, 805.4900000000271
134, 825.7599999999729
135, 819.5050000000119
136, 813.0749999999825
137, 814.660000000018
138, 802.6349999999729
139, 836.9100000000108
140, 804.5449999999983
141, 818.1199999999953
142, 821.1999999999898
143, 817.6750000000466
144, 807.5500000000102
145, 789.2250000000204
146, 807.6749999999884
147, 811.5450000000565
148, 818.1300000000483
149, 826.5100000000239
150, 815.1800000000003
151, 815.3600000000006
152, 807.300000000032
153, 810.2449999999881
154, 828.4999999999854
155, 821.1150000000198
156, 812.0449999999691
157, 813.3750000000291
158, 823.9250000000102
159, 817.8250000000407
160, 793.2550000000119
161, 811.9900000000052
162, 812.2900000000373
163, 813.6449999999822
164, 805.3800000000192
165, 808.7549999999756
166, 822.3900000000212
167, 809.144999999975
168, 812.7500000000437
169, 799.1299999999683
170, 814.3549999999814
171, 810.2300000000105
172, 816.6400000000067
173, 842.980000000025
174, 813.2099999999919
175, 808.4250000000029
176, 818.9499999999825
177, 843.7200000000012
178, 809.2649999999921
179, 818.9600000000355
180, 805.3550000000105
181, 812.1949999999924
182, 804.275000000016
183, 818.2149999999601
184, 820.635000000002
185, 822.5000000000073
186, 810.3050000000294
187, 820.0500000000102
188, 816.0500000000393
189, 824.8049999999712
190, 824.8799999999828
191, 809.0099999999802
192, 811.8199999999779
193, 814.1250000000218
194, 808.0850000000137
195, 818.1900000000023
196, 817.060000000005
197, 824.2500000000146
198, 822.0950000000012
199, 814.6750000000102
200, 817.589999999982
201, 819.0500000000102
202, 809.41500000003
203, 816.9699999999939
204, 821.0699999999706
205, 811.1199999999735
206, 850.8299999999654
207, 821.2349999999424
208, 818.6349999999729
209, 815.2999999999593
210, 823.5999999999985
211, 815.2399999999761
212, 811.8749999999927
213, 822.3499999999985
214, 794.0750000000116
215, 803.9649999999965
216, 809.9250000000029
217, 802.2699999999822
218, 805.8150000000169
219, 826.0549999999857
220, 810.9549999999945
221, 812.8599999999933
222, 850.0349999999889
223, 798.9050000000061
224, 816.9499999999898
225, 801.9699999999939
226, 825.125
227, 824.9600000000137
228, 815.5599999999904
229, 819.3200000000143
230, 805.5699999999488
231, 818.9449999999997
232, 827.8599999999788
233, 833.2850000000108
234, 801.8849999999729
235, 813.9150000000154
236, 821.1999999999971
237, 812.3850000000239
238, 810.2750000000233
239, 809.5550000000076
240, 832.8899999999703
241, 812.6250000000073
242, 815.9200000000274
243, 820.5399999999863
244, 805.9449999999924
245, 837.4500000000116
246, 808.2049999999945
247, 807.2449999999808
248, 813.3850000000239
249, 800.8750000000146
250, 807.9150000000009
251, 800.6150000000125
252, 822.435000000005
253, 801.9900000000125
254, 833.6450000000114
255, 808.6849999999758
256, 831.8250000000335
257, 815.6750000000175
258, 802.0300000000279
259, 794.0349999999962
260, 816.8899999999994
261, 819.7450000000244
262, 815.8400000000111
263, 815.2199999999721
264, 812.8550000000105
265, 808.2700000000259
266, 806.9199999999764
267, 887.2149999999892
268, 782.1749999999811
269, 816.8499999999622
270, 818.8849999999802
271, 803.2949999999983
272, 822.9149999999936
273, 822.0599999999831
274, 802.6300000000192
275, 819.1799999999712
276, 806.2249999999985
277, 820.4700000000084
278, 811.9750000000131
279, 823.1399999999849
280, 807.3250000000189
281, 815.0250000000015
282, 817.2050000000236
283, 802.1700000000201
284, 804.1700000000055
285, 804.6849999999904
286, 813.1550000000061
287, 811.2849999999889
288, 813.814999999995
289, 834.9650000000256
290, 813.3349999999919
291, 821.3750000000073
292, 825.5350000000108
293, 803.2549999999828
294, 803.6550000000061
295, 821.6150000000125
296, 813.5299999999916
297, 819.8499999999767
298, 813.2050000000017
299, 820.4350000000268
300, 813.1450000000186
301, 815.4200000000201
302, 811.4749999999913
303, 814.4899999999907
304, 809.995000000039
305, 812.4000000000815
306, 822.0650000000023
307, 819.6999999999243
308, 816.515000000014
309, 827.8050000000367
310, 817.7499999999709
311, 812.9950000000099
312, 816.0599999999977
313, 812.1000000000349
314, 806.0999999999622
315, 811.910000000018
316, 797.5849999999919
317, 825.2350000000006
318, 815.8899999999703
319, 818.0700000000506
320, 826.8399999999674
321, 819.3150000000169
322, 830.6800000000367
323, 827.2150000000402
324, 825.2599999999948
325, 791.9899999999907
326, 811.0150000000431
327, 832.420000000071
328, 826.7900000000664
329, 811.4100000000471
330, 808.4150000000518
331, 835.8700000000099
332, 819.2799999999843
333, 823.2049999999726
334, 835.7299999999814
335, 810.6799999999785
336, 840.8500000000349
337, 827.2500000000291
338, 849.4349999999686
339, 820.7150000000547
340, 805.7200000000303
341, 818.6599999999744
342, 811.245000000039
343, 802.7999999999738
344, 809.6500000000233
345, 797.4350000000268
346, 823.1600000000471
347, 807.4949999999953
348, 820.539999999979
349, 798.1700000000419
350, 824.1499999999651
351, 812.0100000000239
352, 807.5599999999831
353, 824.5299999999552
