Time, Value 
0, 799.489999999987
1, 814.5350000000144
2, 808.260000000013
3, 823.2950000000055
4, 821.3250000000116
5, 813.9600000000137
6, 822.4850000000042
7, 828.4750000000058
8, 804.2750000000051
9, 819.2600000000093
10, 819.6049999999814
11, 809.8149999999987
12, 799.8800000000265
13, 813.5250000000051
14, 814.6200000000208
15, 813.8450000000157
16, 807.195000000007
17, 809.7800000000061
18, 801.2349999999897
19, 830.3900000000394
20, 807.9449999999888
21, 822.3200000000033
22, 826.1400000000067
23, 812.0549999999894
24, 837.094999999983
25, 832.7400000000052
26, 813.2050000000054
27, 795.2849999999999
28, 807.044999999991
29, 814.0250000000051
30, 810.8550000000032
31, 819.9999999999891
32, 801.1300000000156
33, 811.2649999999921
34, 821.1450000000186
35, 816.5200000000004
36, 812.044999999991
37, 804.445000000007
38, 809.9350000000013
39, 807.3400000000001
40, 809.010000000002
41, 809.2850000000108
42, 819.5299999999952
43, 817.9049999999734
44, 799.6250000000109
45, 819.6250000000036
46, 813.4349999999868
47, 815.4950000000026
48, 820.0899999999965
49, 803.4750000000022
50, 808.895000000015
51, 813.8300000000017
52, 831.1899999999732
53, 823.6650000000154
54, 821.6150000000198
55, 812.8749999999782
56, 830.9150000000081
57, 816.2300000000105
58, 820.814999999995
59, 823.8150000000023
60, 817.1049999999741
61, 809.04000000003
62, 812.1699999999983
63, 804.8950000000114
64, 813.0599999999613
65, 814.7550000000338
66, 817.9050000000061
67, 805.5450000000055
68, 831.6599999999889
69, 833.0749999999898
70, 812.7000000000262
71, 818.79000000003
72, 830.5549999999857
73, 827.7600000000093
74, 825.7000000000044
75, 812.1150000000198
76, 822.3599999999933
77, 832.0899999999456
78, 824.4799999999814
79, 817.7499999999782
80, 809.4399999999805
81, 816.8599999999933
82, 819.8750000000073
83, 806.8549999999814
84, 815.9900000000343
85, 814.6349999999875
86, 810.4799999999523
87, 823.0450000000201
88, 824.3699999999808
89, 803.8750000000509
90, 813.5300000000207
91, 785.3950000000186
92, 810.4799999999886
93, 821.7800000000207
94, 812.7050000000163
95, 808.1700000000128
96, 803.3200000000288
97, 799.3999999999724
98, 824.9449999999997
99, 816.9849999999788
100, 824.7049999999799
101, 823.8449999999793
102, 820.939999999995
103, 817.8650000000052
104, 814.9400000000096
105, 813.4400000000314
106, 819.260000000002
107, 827.5299999999988
108, 806.2100000000137
109, 812.809999999954
110, 815.0299999999334
111, 818.580000000009
112, 825.6699999999983
113, 812.5350000000108
114, 807.0900000000038
115, 806.7000000000262
116, 812.5249999999869
117, 839.8400000000256
118, 824.4499999999898
119, 801.2299999999886
120, 820.5850000000282
121, 822.464999999982
122, 814.0550000000076
123, 821.0749999999607
124, 836.3949999999822
125, 824.9550000000381
126, 821.5949999999793
127, 812.7800000000134
128, 826.4849999999788
129, 811.0249999999942
130, 814.1650000000227
131, 827.0550000000221
