Time, Value 
0, 797.2899999999972
1, 799.0149999999885
2, 814.3400000000074
3, 827.9549999999836
4, 813.5099999999911
5, 826.5750000000226
6, 827.2750000000196
7, 824.9350000000013
8, 835.9850000000151
9, 895.0599999999977
10, 880.630000000001
11, 881.2950000000055
12, 875.8500000000058
13, 889.179999999993
14, 924.5850000000173
15, 854.7699999999859
16, 810.2450000000099
17, 815.7950000000128
18, 827.1299999999901
19, 810.5250000000015
20, 818.4950000000026
21, 818.7599999999729
22, 818.7150000000402
23, 800.6799999999857
24, 805.5599999999831
25, 818.4750000000495
26, 819.6200000000026
27, 817.1200000000172
28, 825.5450000000128
29, 825.9250000000175
30, 837.7299999999814
31, 878.8150000000169
32, 915.410000000018
33, 868.7049999999799
34, 880.8700000000172
35, 878.0699999999706
36, 891.5450000000637
37, 906.1900000000314
38, 817.5300000000061
39, 805.8750000000218
40, 817.944999999956
41, 818.910000000018
42, 813.4799999999741
43, 839.8000000000029
44, 820.435000000005
45, 820.2850000000108
46, 840.5400000000081
47, 807.4449999999779
48, 821.3650000000489
49, 821.1899999999805
50, 813.9899999999907
51, 836.2399999999761
52, 833.1899999999805
53, 956.0450000000201
54, 893.5949999999648
55, 890.5599999999831
56, 865.4049999999988
57, 868.9650000000038
58, 864.2000000000044
59, 867.2200000000157
60, 822.2599999999802
61, 814.7350000000151
62, 819.904999999977
63, 821.8250000000189
64, 823.8550000000032
65, 833.8299999999945
66, 819.0799999999217
67, 830.7949999999983
68, 822.150000000016
69, 814.7900000000154
70, 829.4199999999837
71, 817.224999999984
72, 815.5149999999921
73, 818.5599999999758
74, 831.8950000000041
75, 836.9200000000055
76, 833.5950000000012
77, 797.8949999999895
78, 821.0150000000285
79, 812.2300000000323
80, 816.5150000000067
81, 837.8650000000125
82, 814.8650000000052
83, 830.3950000000259
84, 828.9699999999793
85, 786.8649999999689
86, 810.5700000000361
87, 813.9799999999959
88, 815.8300000000163
89, 837.4700000000157
90, 815.7950000000128
91, 816.8049999999639
92, 821.4349999999686
93, 823.8549999999886
94, 809.0899999999892
95, 826.1600000000035
96, 809.3600000000151
97, 840.7999999999811
98, 823.0399999999863
99, 826.1100000000224
100, 818.4300000000003
101, 832.1549999999988
102, 824.4749999999549
103, 823.4449999999924
104, 814.0199999999386
105, 920.8599999999788
106, 905.5999999999913
107, 874.5549999999857
108, 836.5750000000044
109, 871.6299999999901
110, 886.7399999999834
111, 896.3800000000265
112, 886.2049999999945
113, 906.4150000000081
114, 880.0749999999898
115, 891.1250000000146
116, 888.6849999999977
117, 858.9599999999627
118, 879.0200000000041
119, 875.0250000000015
120, 853.2349999999715
121, 871.8749999999709
122, 881.7050000000163
123, 905.1549999999843
124, 912.8750000000073
125, 893.720000000023
126, 824.9549999999945
127, 828.0149999999921
128, 835.4399999999878
129, 821.0949999999721
130, 812.7650000000212
131, 790.9649999999965
132, 804.7450000000463
133, 812.3800000000119
134, 815.950000000048
135, 843.6049999999959
136, 816.4699999999793
137, 818.6900000000169
138, 828.8500000000058
139, 817.5749999999971
140, 819.935000000005
141, 885.25
142, 906.9800000000178
143, 873.7800000000061
144, 850.7100000000501
145, 878.8850000000093
146, 864.0000000000364
147, 914.144999999975
148, 888.4900000000271
149, 892.5349999999962
150, 907.4699999999866
151, 916.1999999999898
152, 892.3050000000003
153, 895.550000000032
154, 856.5650000000023
155, 869.3749999999563
156, 887.5700000000215
157, 878.8249999999898
158, 901.0899999999674
159, 900.3099999999977
160, 878.3699999999881
161, 874.8799999999901
162, 806.195000000007
163, 821.0899999999892
164, 818.3099999999686
165, 822.7299999999959
166, 820.8100000000413
167, 815.5949999999939
168, 810.6900000000314
169, 801.4150000000081
170, 819.6249999999927
171, 822.8799999999756
172, 826.4249999999665
173, 826.8500000000058
174, 797.835000000021
175, 808.6749999999956
176, 821.3900000000067
177, 881.935000000005
178, 887.2750000000306
179, 894.2649999999994
180, 880.7849999999889
181, 892.2650000000212
182, 886.9149999999863
183, 857.9999999999709
184, 877.0900000000183
185, 910.1800000000221
186, 886.5799999999581
187, 897.2799999999843
188, 892.0300000000352
189, 905.060000000005
190, 901.1549999999988
191, 909.4849999999933
192, 909.4599999999991
193, 859.7499999999636
194, 891.3500000000204
195, 872.9199999999837
196, 888.7649999999776
197, 858.8249999999971
198, 808.2550000000119
199, 814.7700000000041
200, 809.9699999999866
201, 822.889999999963
202, 816.5049999999756
203, 800.3800000000047
204, 834.5200000000041
205, 816.2649999999994
206, 797.4249999999811
207, 836.9000000000015
208, 821.8300000000236
209, 818.3949999999895
210, 843.7250000000276
211, 824.9150000000154
212, 813.110000000037
213, 814.2650000000067
214, 817.7399999999834
215, 822.8150000000169
216, 824.9850000000151
217, 837.2749999999869
218, 880.4050000000352
219, 826.6199999999226
220, 825.6950000000288
221, 821.1150000000052
222, 832.4699999999721
223, 823.8150000000387
224, 827.6249999999927
225, 803.4999999999563
226, 850.5549999999785
227, 812.0999999999694
228, 811.2199999999793
229, 826.0249999999796
230, 784.8800000000047
231, 824.8100000000122
232, 804.5550000000221
233, 822.4050000000061
234, 814.4899999999761
235, 811.4499999999753
236, 817.2399999999907
237, 820.0350000000108
238, 816.4999999999927
239, 812.5450000000346
240, 828.1300000000119
241, 814.3800000000629
242, 810.7200000000084
243, 869.714999999982
244, 916.060000000005
245, 874.6049999999741
246, 875.2000000000189
247, 884.5350000000108
248, 909.2750000000306
249, 878.4900000000271
250, 810.8800000000047
251, 808.8550000000032
252, 816.2400000000489
253, 779.2149999999674
254, 818.6749999999884
255, 833.6099999999933
256, 829.3950000000186
257, 822.8150000000169
258, 805.8650000000343
259, 820.7549999999028
260, 825.1250000000146
261, 800.2550000000629
262, 791.0799999999581
263, 814.0050000000047
264, 829.0999999999622
265, 888.6000000000495
266, 879.3199999999779
267, 897.2500000000146
268, 878.4099999999598
269, 895.6949999999779
270, 882.2600000000384
271, 899.2299999999814
272, 810.9700000000157
273, 830.0800000000163
274, 823.9549999999144
275, 831.3149999999878
276, 812.5400000000518
277, 831.8949999999459
278, 823.355000000025
279, 804.8699999999808
280, 813.4850000000006
281, 825.0899999999674
282, 825.0799999999581
283, 814.1200000000099
284, 849.2050000000309
285, 829.6899999999878
286, 826.4199999999546
287, 852.269999999975
288, 892.875
289, 850.7149999999383
290, 890.2149999999529
291, 932.2550000000338
292, 870.5550000000076
293, 880.7900000000664
294, 808.1949999999924
295, 825.8250000000262
296, 809.4899999999907
297, 820.7599999998929
298, 819.9550000000309
299, 821.3650000000052
300, 809.1849999999977
301, 802.7349999999278
302, 812.2599999999366
303, 838.6750000000175
304, 816.6049999999959
305, 817.929999999993
306, 820.4050000000279
307, 813.9250000000029
308, 818.9100000000035
309, 828.3250000000116
310, 825.9449999999197
311, 817.6900000000169
312, 819.4700000000157
313, 806.835000000021
314, 804.9550000000163
315, 817.4249999999738
316, 807.7399999999907
317, 837.0049999999319
318, 822.3150000000023
319, 833.5050000000192
320, 819.9750000000058
321, 829.6900000000023
322, 818.8850000000239
323, 818.7249999999767
324, 802.3100000000122
325, 834.6500000000087
326, 812.2050000000309
327, 824.4449999999051
