Time, Value 
0, 795.7450000000063
1, 814.1599999999889
2, 800.0450000000055
3, 822.4900000000016
4, 809.1449999999932
5, 818.9549999999872
6, 801.224999999984
7, 820.9049999999843
8, 809.1000000000058
9, 870.4350000000122
10, 867.7649999999921
11, 855.4800000000032
12, 865.984999999986
13, 866.3099999999977
14, 860.0400000000081
15, 897.1899999999914
16, 807.1049999999996
17, 815.7050000000345
18, 814.1800000000367
19, 804.5149999999921
20, 810.8200000000434
21, 812.7899999999936
22, 834.125
23, 831.3450000000157
24, 811.1649999999936
25, 807.7549999999901
26, 820.5749999999607
27, 825.7250000000276
28, 816.0750000000116
29, 819.679999999993
30, 843.5150000000358
31, 843.7750000000087
32, 852.5900000000402
33, 886.8599999999715
34, 892.7649999999994
35, 899.5900000000038
36, 920.3749999999927
37, 912.5600000000268
38, 852.9000000000087
39, 797.839999999982
40, 820.8649999999761
41, 885.3250000000407
42, 812.4049999999988
43, 824.0749999999753
44, 834.0000000000146
45, 817.044999999991
46, 813.7350000000151
47, 796.3149999999732
48, 814.2350000000006
49, 804.214999999982
50, 801.4649999999892
51, 810.3349999999991
52, 813.3750000000146
53, 827.1349999999875
54, 872.9799999999886
55, 890.6199999999881
56, 900.7300000000032
57, 871.2000000000044
58, 880.0599999999758
59, 880.2649999999776
60, 854.989999999998
61, 793.9650000000111
62, 805.5500000000102
63, 810.6049999999741
64, 811.2300000000178
65, 796.5149999999776
66, 831.0249999999796
67, 829.5650000000023
68, 805.5050000000119
69, 835.1700000000201
70, 797.7649999999776
71, 810.0749999999898
72, 819.7050000000381
73, 811.9549999999945
74, 812.789999999979
75, 821.349999999984
76, 813.9299999999785
77, 806.8799999999756
78, 808.4350000000122
79, 818.0950000000157
80, 818.9799999999886
81, 815.480000000025
82, 804.9349999999831
83, 795.7000000000044
84, 819.4549999999945
85, 807.9749999999694
86, 827.2049999999945
87, 813.9099999999817
88, 815.3800000000047
89, 806.8149999999805
90, 808.2699999999531
