Time, Value 
0, 804.4550000000017
1, 810.8749999999927
2, 816.2649999999885
3, 809.6050000000068
4, 795.114999999998
5, 817.1200000000172
6, 823.1799999999894
7, 829.4950000000063
8, 821.9599999999991
9, 871.8449999999866
10, 864.3000000000138
11, 882.2999999999956
12, 909.6299999999719
13, 868.9749999999876
14, 895.809999999994
15, 867.4750000000058
16, 825.3000000000138
17, 832.5199999999932
18, 801.614999999998
19, 821.9449999999852
20, 829.4649999999892
21, 818.325000000008
22, 791.1650000000045
23, 832.9099999999926
24, 826.0500000000065
25, 812.0299999999916
26, 807.8300000000127
27, 811.4750000000131
28, 831.8999999999978
29, 826.3999999999905
30, 822.635000000002
31, 896.825000000008
32, 883.2049999999945
33, 858.8449999999903
34, 857.3700000000099
35, 887.6349999999657
36, 892.9600000000137
37, 861.4299999999821
38, 821
39, 841.0499999999956
40, 804.0099999999729
41, 816.2199999999975
42, 812.4700000000012
43, 832.5750000000044
44, 749.4650000000001
45, 813.2599999999911
46, 813.9099999999889
47, 823.6549999999916
48, 819.3199999999852
49, 810.6050000000105
50, 819.0099999999984
51, 828.7300000000068
52, 834.864999999998
53, 937.6700000000092
54, 909.6699999999837
55, 884.6500000000087
56, 901.1700000000055
57, 925.16499999999
58, 922.669999999991
59, 829.1850000000086
60, 813.7749999999978
61, 808.0150000000103
62, 808.1549999999988
63, 808.9800000000178
64, 826.1049999999959
65, 813.6949999999961
66, 807.3999999999905
67, 823.455000000009
68, 779.8649999999761
69, 839.6349999999911
70, 811.7600000000239
71, 814.4900000000089
72, 813.5450000000128
73, 816.1599999999999
74, 812.184999999994
75, 820.2200000000048
76, 817.5400000000009
77, 854.0700000000215
78, 812.5550000000148
79, 819.4149999999936
80, 827.8850000000239
81, 807.1349999999802
82, 817.9800000000178
83, 815.3899999999994
84, 810.6299999999974
85, 817.5600000000159
86, 818.8500000000204
87, 803.5300000000134
88, 829.1000000000422
89, 819.3400000000038
90, 823.8599999999715
91, 815.2800000000061
92, 805.0299999999916
93, 811.699999999968
94, 825.6200000000463
95, 820.2100000000064
96, 821.3250000000116
97, 827.9200000000128
98, 820.5449999999546
99, 820.0850000000137
100, 822.3150000000169
101, 809.6200000000026
102, 815.54000000003
103, 844.3949999999677
104, 840.3800000000192
105, 913.8050000000148
106, 875.345000000023
107, 885.7599999999948
108, 854.064999999995
109, 848.3600000000733
110, 904.9949999999953
111, 882.5
112, 901.114999999998
113, 898.4449999999852
114, 869.9050000000134
115, 887.7899999999936
116, 883.5650000000096
117, 888.8950000000114
118, 867.8000000000247
119, 900.9449999999779
120, 865.7000000000262
121, 886.6499999999432
122, 886.8049999999785
123, 908.7049999999872
124, 877.1850000000122
125, 848.0499999999884
126, 812.8050000000221
127, 814.5599999999686
128, 813.3400000000111
129, 821.8300000000017
130, 813.2900000000154
131, 841.8250000000335
132, 817.5399999999936
133, 823.4150000000009
134, 818.6600000000471
135, 847.9299999999566
136, 818.7699999999677
137, 834.7150000000183
138, 835.814999999995
139, 836.4099999999962
140, 849.6949999999415
141, 881.9699999999939
142, 889.6250000000291
143, 892.515000000014
144, 903.0449999999983
145, 893.460000000021
146, 924.830000000009
147, 891.4500000000189
148, 901.2300000000105
149, 905.2049999999508
150, 895.8349999999991
151, 887.1750000000393
152, 837.6100000000224
153, 870.9300000000076
154, 856.6399999999921
155, 864.1450000000186
156, 899.0350000000108
157, 879.8300000000163
158, 878.5549999999785
159, 894.8099999999758
160, 914.6900000000314
161, 833.8650000000198
162, 829.2000000000116
163, 821.4149999999863
164, 824.6149999999689
165, 819.3849999999584
166, 827.9249999999884
167, 805.2799999999625
168, 830.2800000000207
169, 821.0699999999924
170, 825.294999999991
171, 813.1299999999901
172, 818.3199999999852
173, 810.6700000000274
174, 827.6749999999811
175, 818.5050000000192
176, 849.4600000000137
177, 881.320000000007
178, 856.5199999999968
179, 899.9149999999572
180, 885.2000000000262
181, 908.3100000000122
182, 872.205000000009
183, 873.8300000000163
184, 907.5500000000102
185, 887.3849999999948
186, 879.0199999999968
187, 861.9049999999988
188, 876.6349999999729
189, 875.7700000000186
190, 891.7749999999505
191, 913.1200000000099
192, 892.0299999999625
193, 895.8050000000512
194, 866.5150000000212
195, 869.3050000000003
196, 853.645000000055
197, 836.125
198, 830.1649999999863
199, 806.1599999999817
200, 822.3249999999825
201, 821.3900000000212
202, 825.5500000000029
203, 804.25
204, 808.0750000000044
205, 819.9699999999793
206, 825.8150000000023
207, 824.4400000000314
208, 821.9850000000297
209, 828.8250000000407
210, 823.4499999999971
211, 808.7549999999901
212, 812.0449999999983
213, 849.4600000000137
214, 819.3649999999543
215, 802.8749999999927
216, 820.2750000000233
217, 813.2100000000428
218, 825.9699999999939
219, 816.5649999999732
220, 812.5650000000242
221, 826.4449999999997
222, 811.9050000000061
223, 812.4199999999619
224, 828.4300000000148
225, 815.3649999999907
226, 821.9850000000006
227, 819.9099999999962
228, 815.3150000000242
229, 812.3400000000038
230, 825.0300000000134
231, 807.7550000000192
232, 812.2550000000047
233, 813.390000000014
234, 813.7900000000227
235, 814.955000000009
236, 802.089999999982
237, 816.1700000000055
238, 810.5449999999691
239, 831.6650000000009
240, 819.5450000000055
241, 817.6299999999683
242, 865.1949999999852
243, 916.1200000000026
244, 901.1900000000242
245, 934.5399999999645
246, 864.0000000000291
247, 869.0049999999901
248, 886.8500000000058
249, 819.2200000000012
250, 825.8550000000032
251, 819.7400000000052
252, 825.6299999999974
253, 808.7750000000015
254, 827.0800000000017
255, 823.3500000000495
256, 826.9899999999907
257, 804.9300000000076
258, 819.945000000007
259, 811.0250000000015
260, 817.0750000000044
261, 815.435000000005
262, 817.1850000000122
263, 827.7699999999822
264, 906.7550000000119
265, 916.794999999991
266, 873.2299999999886
267, 883.5449999999764
268, 914.2100000000064
269, 905.5250000000015
270, 859.9999999999927
271, 796.7899999999936
272, 821.2150000000183
273, 816.7200000000012
274, 825.4049999999988
275, 801.4249999999884
276, 818.4449999999997
277, 808.1600000000471
278, 818.7149999999674
279, 815.669999999991
280, 809.7850000000035
281, 826.7500000000291
282, 814.0550000000003
283, 810.4350000000195
284, 816.3749999999636
285, 815.2849999999962
286, 904.320000000007
287, 883.0799999999945
288, 863.0750000000044
